ID;SR;PD.obs;PD.SES;PD.Pvalue;FD.obs;FD.SES;FD.Pvalue;PE.obs;PE.SES;PE.Pvalue;Protegido;Clima;Ecorregion;Climate;Ecoregion;PP_MM;TMED;ALT_MIN;ALT_MAX;long;lat;codregion
22756;11;3.880162191;0.119229386;0.5305;2.728807155;0.2663295;0.5675;0.009583145;1.355320924;0.105105105;1;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.579986;-46.882546;11
22757;9;3.549036421;0.258321394;0.584;2.432251641;0.088136968;0.536;0.008790783;1.437726668;0.103103103;1;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.579986;-47.132546;11
22758;12;4.059909834;0.025132789;0.502;3.278140784;0.804058734;0.7665;0.010548989;-0.193146652;0.472472472;0;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.579986;-47.382546;11
22759;12;4.059909834;0.075588803;0.5185;3.278140784;0.845448743;0.789;0.010548989;-0.193146652;0.472472472;0;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.579986;-47.632546;11
22760;13;4.278064774;0.060414061;0.516;3.380041562;0.774182824;0.749;0.01168157;-0.224269238;0.506506507;0;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.579986;-47.882546;11
22761;14;4.445813754;0.015837533;0.5045;3.315310143;0.480428808;0.6635;0.011440636;-0.206995943;0.478478478;0;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.579986;-48.132546;11
22762;15;4.663968694;0.104198835;0.5475;3.41721092;0.400532614;0.63;0.012573218;-0.233794475;0.505505506;0;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.579986;-48.382546;11
22763;15;4.663968694;0.017717629;0.5085;3.41721092;0.380476157;0.6155;0.012573218;-0.233794475;0.505505506;0;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.579986;-48.632546;11
22764;15;4.663968694;0.061413939;0.531;3.41721092;0.385974622;0.6085;0.012573218;-0.233794475;0.505505506;1;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.579986;-48.882546;11
22771;15;4.373014481;-0.146265711;0.4795;2.83881491;-0.375989523;0.3405;0.013604026;-0.435321027;0.578578579;0;3;7;Polar;Estepa_Patagonica;700;4;2000;4300;-72.579986;-50.632546;12
22772;14;4.140840191;-0.221710373;0.427;2.813201459;-0.206043091;0.406;0.013131024;-0.433503353;0.573573574;1;1;7;Arido;Estepa_Patagonica;120;8;800;3000;-72.579986;-50.882546;12
22773;14;4.140840191;-0.181812244;0.454;2.813201459;-0.231384457;0.3955;0.013131024;-0.433503353;0.573573574;1;1;6;Arido;Bosque_Maguellanico;120;8;800;3000;-72.579986;-51.132546;12
22774;14;4.140840191;-0.173382735;0.4625;2.813201459;-0.26537127;0.3835;0.013131024;-0.433503353;0.573573574;0;1;6;Arido;Bosque_Maguellanico;120;8;800;3000;-72.579986;-51.382546;12
22775;12;3.895860931;0.02264627;0.513;2.778675523;0.002002193;0.4965;0.008821839;-0.003235408;0.439439439;1;1;6;Arido;Bosque_Maguellanico;120;8;800;3000;-72.579986;-51.632546;12
22776;9;3.218752571;-0.077563696;0.4665;2.43750511;0.218479624;0.562;0.005991296;0.369478388;0.31031031;0;1;6;Arido;Bosque_Maguellanico;120;8;800;3000;-72.579986;-51.882546;12
22777;7;2.561764631;-0.275193599;0.412;2.050604725;0.096234307;0.504;0.003207571;-0.924725348;0.858858859;0;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-72.579986;-52.132546;12
22778;6;2.36274513;-0.219358061;0.4325;1.869679262;0.149164619;0.5265;0.003014629;-0.887908099;0.838838839;0;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-72.579986;-52.382546;12
22779;6;2.65174442;0.221357509;0.5765;1.963125079;0.462343338;0.637;0.004211742;0.417631639;0.283283283;1;2;6;Templado;Bosque_Maguellanico;1800;6.5;50;1600;-72.579986;-52.632546;12
